"Service","Service Bundle","Service Code","Object","EXPENDITURE","REVENUE"
"10 Corporate, Oper & Council Serv","10.4 Financial Management","10.4.5 Bus. Plan. & Cont. Improvement","040 Purchased Services",1500,0
"10 Corporate, Oper & Council Serv","10.4 Financial Management","10.4.5 Bus. Plan. & Cont. Improvement","050 Materials & Supplies",5000,0
"10 Corporate, Oper & Council Serv","10.4 Financial Management","10.4.5 Bus. Plan. & Cont. Improvement","060 Furniture & Equipment",4553,0
"10 Corporate, Oper & Council Serv","10.4 Financial Management","10.4.5 Bus. Plan. & Cont. Improvement","140 Other Municipal Revenues",0,-37922
"10 Corporate, Oper & Council Serv","10.4 Financial Management","10.4.6 Finance/CS-Fin & Business Serv","010 Personnel Costs",1718137,0
"10 Corporate, Oper & Council Serv","10.4 Financial Management","10.4.6 Finance/CS-Fin & Business Serv","020 Administrative Expenses",29775,0
"10 Corporate, Oper & Council Serv","10.4 Financial Management","10.4.6 Finance/CS-Fin & Business Serv","030 Financial Expenses",5925,0
"10 Corporate, Oper & Council Serv","10.4 Financial Management","10.4.6 Finance/CS-Fin & Business Serv","040 Purchased Services",6333,0
"10 Corporate, Oper & Council Serv","10.4 Financial Management","10.4.6 Finance/CS-Fin & Business Serv","050 Materials & Supplies",51040,0
"10 Corporate, Oper & Council Serv","10.4 Financial Management","10.4.6 Finance/CS-Fin & Business Serv","060 Furniture & Equipment",4000,0
"10 Corporate, Oper & Council Serv","10.4 Financial Management","10.4.6 Finance/CS-Fin & Business Serv","120 Government Grants & Subsidies",0,-839314
"10 Corporate, Oper & Council Serv","10.4 Financial Management","10.4.7 Finance/PEESD","010 Personnel Costs",736088,0
"10 Corporate, Oper & Council Serv","10.4 Financial Management","10.4.7 Finance/PEESD","050 Materials & Supplies",1500,0
"10 Corporate, Oper & Council Serv","10.4 Financial Management","10.4.7 Finance/PEESD","130 User Fees",0,-25000
"10 Corporate, Oper & Council Serv","10.4 Financial Management","10.4.7 Finance/PEESD","140 Other Municipal Revenues",0,-285370
"10 Corporate, Oper & Council Serv","10.5 Public Support Services","10.5.1 Administration of Justice","010 Personnel Costs",1018618,0
"10 Corporate, Oper & Council Serv","10.5 Public Support Services","10.5.1 Administration of Justice","020 Administrative Expenses",5150,0
"10 Corporate, Oper & Council Serv","10.5 Public Support Services","10.5.1 Administration of Justice","030 Financial Expenses",328300,0
"10 Corporate, Oper & Council Serv","10.5 Public Support Services","10.5.1 Administration of Justice","040 Purchased Services",1521299,0
"10 Corporate, Oper & Council Serv","10.5 Public Support Services","10.5.1 Administration of Justice","050 Materials & Supplies",82800,0
"10 Corporate, Oper & Council Serv","10.5 Public Support Services","10.5.1 Administration of Justice","060 Furniture & Equipment",46535,0
"10 Corporate, Oper & Council Serv","10.5 Public Support Services","10.5.1 Administration of Justice","070 Transfers",315000,0
"10 Corporate, Oper & Council Serv","10.5 Public Support Services","10.5.1 Administration of Justice","080 Other Expenses",40000,0
"10 Corporate, Oper & Council Serv","10.5 Public Support Services","10.5.1 Administration of Justice","140 Other Municipal Revenues",0,-5452000
"10 Corporate, Oper & Council Serv","10.5 Public Support Services","10.5.2 Taxation","010 Personnel Costs",1548393,0
"10 Corporate, Oper & Council Serv","10.5 Public Support Services","10.5.2 Taxation","020 Administrative Expenses",24198,0
"10 Corporate, Oper & Council Serv","10.5 Public Support Services","10.5.2 Taxation","030 Financial Expenses",66500,0
"10 Corporate, Oper & Council Serv","10.5 Public Support Services","10.5.2 Taxation","040 Purchased Services",21360,0
"10 Corporate, Oper & Council Serv","10.5 Public Support Services","10.5.2 Taxation","050 Materials & Supplies",67000,0
"10 Corporate, Oper & Council Serv","10.5 Public Support Services","10.5.2 Taxation","130 User Fees",0,-997500
"10 Corporate, Oper & Council Serv","10.5 Public Support Services","10.5.2 Taxation","140 Other Municipal Revenues",0,-247637
"10 Corporate, Oper & Council Serv","10.5 Public Support Services","10.5.3 Corporate Communications","010 Personnel Costs",707826,0
"10 Corporate, Oper & Council Serv","10.5 Public Support Services","10.5.3 Corporate Communications","020 Administrative Expenses",8455,0
"10 Corporate, Oper & Council Serv","10.5 Public Support Services","10.5.3 Corporate Communications","040 Purchased Services",180566,0
"10 Corporate, Oper & Council Serv","10.5 Public Support Services","10.5.3 Corporate Communications","050 Materials & Supplies",668,0
"10 Corporate, Oper & Council Serv","10.5 Public Support Services","10.5.3 Corporate Communications","140 Other Municipal Revenues",0,-105000
"10 Corporate, Oper & Council Serv","10.5 Public Support Services","10.5.4 Customer Relations","010 Personnel Costs",963985,0
"10 Corporate, Oper & Council Serv","10.5 Public Support Services","10.5.4 Customer Relations","020 Administrative Expenses",450,0
"10 Corporate, Oper & Council Serv","10.5 Public Support Services","10.5.4 Customer Relations","040 Purchased Services",87450,0
"10 Corporate, Oper & Council Serv","10.5 Public Support Services","10.5.4 Customer Relations","050 Materials & Supplies",714625,0
"10 Corporate, Oper & Council Serv","10.5 Public Support Services","10.5.4 Customer Relations","060 Furniture & Equipment",18804,0
"10 Corporate, Oper & Council Serv","10.5 Public Support Services","10.5.4 Customer Relations","090 Recovered Expenses",-26000,0
"10 Corporate, Oper & Council Serv","10.5 Public Support Services","10.5.4 Customer Relations","130 User Fees",0,-46250
"10 Corporate, Oper & Council Serv","10.5 Public Support Services","10.5.4 Customer Relations","140 Other Municipal Revenues",0,-69996
"10 Corporate, Oper & Council Serv","10.5 Public Support Services","10.5.5 Licensing & Certificates","010 Personnel Costs",318316,0
"10 Corporate, Oper & Council Serv","10.5 Public Support Services","10.5.5 Licensing & Certificates","020 Administrative Expenses",50,0
"10 Corporate, Oper & Council Serv","10.5 Public Support Services","10.5.5 Licensing & Certificates","030 Financial Expenses",4000,0
"10 Corporate, Oper & Council Serv","10.5 Public Support Services","10.5.5 Licensing & Certificates","040 Purchased Services",4500,0
"10 Corporate, Oper & Council Serv","10.5 Public Support Services","10.5.5 Licensing & Certificates","050 Materials & Supplies",67872,0
"10 Corporate, Oper & Council Serv","10.5 Public Support Services","10.5.5 Licensing & Certificates","130 User Fees",0,-720840
"10 Corporate, Oper & Council Serv","10.5 Public Support Services","10.5.6 City Hall Cafetaria","010 Personnel Costs",261124,0
"10 Corporate, Oper & Council Serv","10.5 Public Support Services","10.5.6 City Hall Cafetaria","020 Administrative Expenses",950,0
"10 Corporate, Oper & Council Serv","10.5 Public Support Services","10.5.6 City Hall Cafetaria","030 Financial Expenses",500,0
"10 Corporate, Oper & Council Serv","10.5 Public Support Services","10.5.6 City Hall Cafetaria","040 Purchased Services",5800,0
"10 Corporate, Oper & Council Serv","10.5 Public Support Services","10.5.6 City Hall Cafetaria","050 Materials & Supplies",146800,0
"10 Corporate, Oper & Council Serv","10.5 Public Support Services","10.5.6 City Hall Cafetaria","140 Other Municipal Revenues",0,-317831
